Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
8999510785465,PRISTINE 600ML,Pcs,5,IDR,17.500.00,
8999510785540,PRISTINE 400 ML,Pcs,8,IDR,24.000.00,
,Total AIR MINERAL KEMASAN :,,,IDR,41.500.00,
,,BATERAI,,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
34563,ALKALINE AAA,Pcs,1,IDR,13.000.00,
3460,ABC BATERAI SUPER POWER 9VOLT,Pcs,1,IDR,8.500.00,
,Total BATERAI :,,,IDR,21.500.00,
,,BISKUIT,,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
749921040213,WRP CHOCOLATE CHIP 30GR,Pcs,1,IDR,5.000.00,
7622210609397,BELVITA MADU DAN COKLAT 4X20G,Pcs,1,IDR,7.500.00,
7622300136048,OREO STRAWBERRY CREME 294 G,Pcs,8,IDR,12.000.00,
7622300335809,OREO SOFT CAKE 14G,Pcs,8,IDR,12.000.00,
7622300405588,KRAFT KEJU CAKE 16 G,Pcs,5,IDR,7.500.00,
7622300442477,OREO ICECREAM BLBR 294 G,Pcs,8,IDR,12.000.00,
7622300442507,OREO ICE CREAM 137 G,Pcs,1,IDR,7.500.00,
8886001038011,BENG BENG CHOCO MERAH 20 G,Pcs,46,IDR,69.000.00,
8886015414061,NYAM NYAM CHOCO 18GR,Pcs,3,IDR,10.500.00,
8887229020307,UNIBIS LEMON CREAM 208GR,Pcs,1,IDR,6.000.00,
8888166330306,NISSIN LEMONIA 130G,Pcs,1,IDR,6.500.00,
8888166336568,NISSIN CRISPY CRACKERS 250G,Pcs,2,IDR,17.000.00,
8888166610002,NISSIN LEMONIA CHOCO 20GR,Pcs,3,IDR,3.000.00,
8888166993150,NISSIN CHOCO SOES 100GR,Pcs,1,IDR,8.000.00,
8888166994683,MONDE PIE SAND COK 110 G,Pcs,1,IDR,7.500.00,
8888166995789,NISSIN BLUEBERY SOES 100GR,Pcs,1,IDR,8.000.00,
8991001770417,SELAMAT WFR COKLAT 18GR,Pcs,13,IDR,13.000.00,
8991002301825,LOVY COOKIES COFFECINO 30GR,Pcs,3,IDR,13.500.00,
8991002312111,OATBITS RAISIN 132 G,Pcs,1,IDR,6.500.00,
8991002312142,OATBITS STRAWBERY 121 GRAM,Pcs,2,IDR,13.000.00,
8991002312166,OATBITS KACANG IJO 285 GR,Pcs,3,IDR,10.500.00,
8991002323063,LOVY COEKIES CHOCOBUTTER 30GR,Pcs,1,IDR,4.500.00,
8991102385084,TANGO WAFER COKLAT 7.8GR,Pcs,1,IDR,500,
8991102385114,TANGO WAFER SUSU VANILA 7.8GR,Pcs,2,IDR,1.000.00,
8992716108878,BISKUAT ENERGI 735 GRAM,Pcs,7,IDR,21.000.00,
8992716109554,BISKUAT ENERGI COKLAT 67G,Pcs,22,IDR,66.000.00,
8992760211029,KRAFT RITZ CRACERS 100G,Pcs,1,IDR,6.000.00,
8992775305102,GERY MALKIST SALUT COCONUT 110GR,Pcs,1,IDR,6.500.00,
8992775311479,GERY CHOCOLATOS DARK 16G,Pcs,16,IDR,16.000.00,
8992775312889,GERY WAFELATOS COKLAT 16GR,Pcs,3,IDR,3.000.00,
8992775315057,GERY SALUUT MALKIST COKLAT 140GR,Pcs,1,IDR,6.500.00,
8992839300012,UBM WAFER COKLAT 260GR,Pcs,1,IDR,7.500.00,
,,BISKUIT,,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
8992839690014,UBM MARIE SUSU 35GR,Pcs,3,IDR,3.000.00,
