Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8886008101046,AQUA AQUA GLS 48 X 240ML,Pcs,3.00,IDR,75.000.00
8992752011095,VIT 330ML,Pcs,4.00,IDR,6.000.00
8993190912401,AMIDIS 1500ML,Pcs,12.00,IDR,54.000.00
8999510785465,PRISTINE 600ML,Pcs,12.00,IDR,42.000.00
"",Total AIR MINERAL KEMASAN :,,,IDR,177.000.00
"",,BATERAI,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
34563,ALKALINE AAA,Pcs,1.00,IDR,13.000.00
8886022830243,BATERE ABC BIRU AA R6P 15 V,Pcs,2.00,IDR,5.000.00
"",Total BATERAI :,,,IDR,18.000.00
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
B00011,BERAS SWG 5 KG,Pcs,4.00,IDR,260.000.00
B0010,BERAS SWG 10 KG,Pcs,2.00,IDR,245.000.00
"",Total BERAS KARUNG :,,,IDR,505.000.00
"",,BISKUIT,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
749921040213,WRP CHOCOLATE CHIP 30GR,Pcs,1.00,IDR,5.000.00
8886001038011,BENG BENG CHOCO MERAH 20 G,Pcs,78.00,IDR,117.000.00
8886015414061,NYAM NYAM CHOCO 18GR,Pcs,5.00,IDR,17.500.00
8886015428136,TIMTAM CHOCOLATE 120G,Pcs,2.00,IDR,19.000.00
8888166609594,NISSIN LEMONIA 20GR,Pcs,2.00,IDR,2.000.00
8888166990104,MONDE FRIED COOKIES 200G,Pcs,1.00,IDR,14.000.00
8991002312111,OATBITS RAISIN 132 G,Pcs,1.00,IDR,6.500.00
8991002312142,OATBITS STRAWBERY 121 GRAM,Pcs,1.00,IDR,6.500.00
8991002312166,OATBITS KACANG IJO 285 GR,Pcs,2.00,IDR,7.000.00
8991002312203,OATBITS ALMOND 285GR,Pcs,5.00,IDR,17.500.00
8991002502635,MAYASI CRISPY PINEAPPLE 15GR,Pcs,1.00,IDR,1.000.00
8991002502871,MAYASI CHOCOLATE 90GR,Pcs,1.00,IDR,7.000.00
8991102385084,TANGO WAFER COKLAT 7.8GR,Pcs,5.00,IDR,2.500.00
8991102385114,TANGO WAFER SUSU VANILA 7.8GR,Pcs,1.00,IDR,500.00
8991102987431,TANGO WAFER CHEESE 7.8GR,Pcs,1.00,IDR,1.000.00
8992716108878,BISKUAT ENERGI 735 GRAM,Pcs,8.00,IDR,24.000.00
8992760121090,OREO DOUBLE DELIGHT 152.4G,Pcs,1.00,IDR,7.500.00
8992760221028,OREO CHOCOLATE 137G,Pcs,2.00,IDR,15.000.00
8992775305102,GERY MALKIST SALUT COCONUT 110GR,Pcs,1.00,IDR,6.500.00
8992775311479,GERY CHOCOLATOS DARK 16G,Pcs,11.00,IDR,11.000.00
8992775315057,GERY SALUUT MALKIST COKLAT 140GR,Pcs,2.00,IDR,13.000.00
"",,BISKUIT,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
